r,t,y,TotalTechnologyAnnualActivity
RE1,AGRDSL001,2019,0.74
RE1,AGRDSL001,2020,0.86
RE1,AGRDSL001,2021,1.0
RE1,AGRDSL001,2022,0.68
RE1,AGRDSL001,2023,0.9008
RE1,AGRDSL001,2024,1.43
RE1,AGRDSL001,2025,1.59
RE1,AGRDSL001,2026,0.56
RE1,AGRDSL001,2027,1.95
RE1,AGRDSL001,2028,0.47
RE1,AGRDSL001,2029,0.42
RE1,AGRDSL001,2030,0.36
RE1,AGRDSL001,2031,0.3
RE1,AGRDSL001,2032,0.23
RE1,AGRDSL001,2033,0.16
RE1,AGRDSL001,2034,0.08
RE1,AGRGSL001,2019,0.37
RE1,AGRGSL001,2020,0.36
RE1,AGRGSL001,2021,0.35
RE1,AGRGSL001,2022,0.34
RE1,AGRGSL001,2023,0.33
RE1,AGRGSL001,2024,0.31
RE1,AGRGSL001,2025,0.3
RE1,AGRGSL001,2026,0.28
RE1,AGRGSL001,2027,0.26
RE1,AGRGSL001,2028,0.23
RE1,AGRGSL001,2029,0.21
RE1,AGRGSL001,2030,0.18
RE1,AGRGSL001,2031,0.15
RE1,AGRGSL001,2032,0.11
RE1,AGRGSL001,2033,0.08
RE1,AGRGSL001,2034,0.04
RE1,AGRHFO001,2019,0.93
RE1,AGRHFO001,2020,0.88
RE1,AGRHFO001,2021,0.86
RE1,AGRHFO001,2022,1.29
RE1,AGRHFO001,2023,1.1792
RE1,AGRHFO001,2024,0.77
RE1,AGRHFO001,2025,0.72
RE1,AGRHFO001,2026,1.89
RE1,AGRHFO001,2027,0.63
RE1,AGRHFO001,2028,2.26
RE1,AGRHFO001,2029,2.43
RE1,AGRHFO001,2030,2.63
RE1,AGRHFO001,2031,2.85
RE1,AGRHFO001,2032,3.08
RE1,AGRHFO001,2033,3.3
RE1,AGRHFO001,2034,3.53
RE1,AGRHFO001,2035,3.76
RE1,AGRHFO001,2036,3.89
RE1,AGRHFO001,2037,4.02
RE1,AGRHFO001,2038,4.14
RE1,AGRHFO001,2039,4.25
RE1,AGRHFO001,2040,4.36
RE1,AGRHFO001,2041,4.49
RE1,AGRHFO001,2042,4.61
RE1,AGRHFO001,2043,4.73
RE1,AGRHFO001,2044,4.83
RE1,AGRHFO001,2045,4.93
RE1,AGRHFO001,2046,5.05
RE1,AGRHFO001,2047,5.17
RE1,AGRHFO001,2048,5.27
RE1,AGRHFO001,2049,5.36
RE1,AGRHFO001,2050,5.44
RE1,CCOELC001,2019,4.89
RE1,CCOELC001,2020,4.84
RE1,CCOELC001,2021,5.19
RE1,CCOELC001,2022,5.54
RE1,CCOELC001,2023,5.89
RE1,CCOELC001,2024,6.24
RE1,CCOELC001,2025,6.6
RE1,CCOELC001,2026,7.04
RE1,CCOELC001,2027,7.49
RE1,CCOELC001,2028,7.94
RE1,CCOELC001,2029,8.39
RE1,CCOELC001,2030,8.84
RE1,CCOELC001,2031,9.39
RE1,CCOELC001,2032,9.95
RE1,CCOELC001,2033,10.51
RE1,CCOELC001,2034,11.08
RE1,CCOELC001,2035,11.65
RE1,CCOELC001,2036,12.33
RE1,CCOELC001,2037,13.02
RE1,CCOELC001,2038,13.71
RE1,CCOELC001,2039,14.41
RE1,CCOELC001,2040,15.11
RE1,CCOELC001,2041,15.94
RE1,CCOELC001,2042,16.77
RE1,CCOELC001,2043,17.61
RE1,CCOELC001,2044,18.46
RE1,CCOELC001,2045,19.31
RE1,CCOELC001,2046,20.3
RE1,CCOELC001,2047,21.3
RE1,CCOELC001,2048,22.3
RE1,CCOELC001,2049,23.32
RE1,CCOELC001,2050,24.33
RE1,FTEAGRDSL,2019,2.479
RE1,FTEAGRDSL,2020,2.881
RE1,FTEAGRDSL,2021,3.35
RE1,FTEAGRDSL,2022,2.278
RE1,FTEAGRDSL,2023,3.0177
RE1,FTEAGRDSL,2024,4.7905
RE1,FTEAGRDSL,2025,5.3265
RE1,FTEAGRDSL,2026,1.876
RE1,FTEAGRDSL,2027,6.5325
RE1,FTEAGRDSL,2028,1.5745
RE1,FTEAGRDSL,2029,1.407
RE1,FTEAGRDSL,2030,1.206
RE1,FTEAGRDSL,2031,1.005
RE1,FTEAGRDSL,2032,0.7705
RE1,FTEAGRDSL,2033,0.536
RE1,FTEAGRDSL,2034,0.268
RE1,FTEAGRGSL,2019,1.4504
RE1,FTEAGRGSL,2020,1.4112
RE1,FTEAGRGSL,2021,1.372
RE1,FTEAGRGSL,2022,1.3328
RE1,FTEAGRGSL,2023,1.2936
RE1,FTEAGRGSL,2024,1.2152
RE1,FTEAGRGSL,2025,1.176
RE1,FTEAGRGSL,2026,1.0976
RE1,FTEAGRGSL,2027,1.0192
RE1,FTEAGRGSL,2028,0.9016
RE1,FTEAGRGSL,2029,0.8232
RE1,FTEAGRGSL,2030,0.7056
RE1,FTEAGRGSL,2031,0.588
RE1,FTEAGRGSL,2032,0.4312
RE1,FTEAGRGSL,2033,0.3136
RE1,FTEAGRGSL,2034,0.1568
RE1,FTEAGRHFO,2019,3.3573
RE1,FTEAGRHFO,2020,3.1768
RE1,FTEAGRHFO,2021,3.1046
RE1,FTEAGRHFO,2022,4.6569
RE1,FTEAGRHFO,2023,4.2569
RE1,FTEAGRHFO,2024,2.7797
RE1,FTEAGRHFO,2025,2.5992
RE1,FTEAGRHFO,2026,6.8229
RE1,FTEAGRHFO,2027,2.2743
RE1,FTEAGRHFO,2028,8.1586
RE1,FTEAGRHFO,2029,8.7723
RE1,FTEAGRHFO,2030,9.4943
RE1,FTEAGRHFO,2031,10.2885
RE1,FTEAGRHFO,2032,11.1188
RE1,FTEAGRHFO,2033,11.913
RE1,FTEAGRHFO,2034,12.7433
RE1,FTEAGRHFO,2035,13.5736
RE1,FTEAGRHFO,2036,14.0429
RE1,FTEAGRHFO,2037,14.5122
RE1,FTEAGRHFO,2038,14.9454
RE1,FTEAGRHFO,2039,15.3425
RE1,FTEAGRHFO,2040,15.7396
RE1,FTEAGRHFO,2041,16.2089
RE1,FTEAGRHFO,2042,16.6421
RE1,FTEAGRHFO,2043,17.0753
RE1,FTEAGRHFO,2044,17.4363
RE1,FTEAGRHFO,2045,17.7973
RE1,FTEAGRHFO,2046,18.2305
RE1,FTEAGRHFO,2047,18.6637
RE1,FTEAGRHFO,2048,19.0247
RE1,FTEAGRHFO,2049,19.3496
RE1,FTEAGRHFO,2050,19.6384
RE1,FTECOMELC,2019,4.89
RE1,FTECOMELC,2020,4.84
RE1,FTECOMELC,2021,5.19
RE1,FTECOMELC,2022,5.54
RE1,FTECOMELC,2023,5.89
RE1,FTECOMELC,2024,6.24
RE1,FTECOMELC,2025,6.6
RE1,FTECOMELC,2026,7.04
RE1,FTECOMELC,2027,7.49
RE1,FTECOMELC,2028,7.94
RE1,FTECOMELC,2029,8.39
RE1,FTECOMELC,2030,8.84
RE1,FTECOMELC,2031,9.39
RE1,FTECOMELC,2032,9.95
RE1,FTECOMELC,2033,10.51
RE1,FTECOMELC,2034,11.08
RE1,FTECOMELC,2035,11.65
RE1,FTECOMELC,2036,12.33
RE1,FTECOMELC,2037,13.02
RE1,FTECOMELC,2038,13.71
RE1,FTECOMELC,2039,14.41
RE1,FTECOMELC,2040,15.11
RE1,FTECOMELC,2041,15.94
RE1,FTECOMELC,2042,16.77
RE1,FTECOMELC,2043,17.61
RE1,FTECOMELC,2044,18.46
RE1,FTECOMELC,2045,19.31
RE1,FTECOMELC,2046,20.3
